agent_id,agency_name,municipality_id,municipality_fullName,membership,membership_current,quota,quota_current,price,trial,accountManager,secondaryAccountManager,entrustments,search_requests,agent_developer,properties,different_level4_areas_of_properties,has_alerts,searches_without_alert,searches_with_alert,specialty_5,specialty_10,specialty_30,value_12m,membership_12m,lvl2_areas_receive_entrustments
11978,Θ. &amp; Α. Δόμηση - Κτηματομεσιτικό γραφείο,4026,Stagiron - Akanthou (Chalkidiki),Brand Quota,Brand,120,200,544.0,no,Sofi Tosouni,Ioanna Katsou,22,67,agent,99,3,0,0,0,2,1,1,973,539,1
12016,ΡΗΓΑ-ΑΘΑΝΑΣΙΑΔΗ,2208,Glyfada (Athens - South),Developer Quota,Brand,1,0,110.0,no,Theodosis Tsiavos,Giorgos Koutsobinas,0,233,developer,1,1,0,0,0,0,0,0,97,97,0
12025,ΕΡΕΧΘΕΙΟΝ ΚΤΗΜΑΤΟΜΕΣΙΤΙΚΗ,2210,Elliniko (Athens - South),Expert Quota,Expert,200,200,1391.0,no,Nikos Kapiniaris,Ioanna Sampani,2028,6013,agent,79,50,0,0,0,0,0,0,4348,1349,4
12030,IONIOS - R.E.D. ( Real Estate Development),3489,Heraclion Cretes (Heraklion Prefecture),Brand Quota,Brand,300,300,762.9,no,Nikos Michail,Ioanna Sampani,380,317,agent,254,36,0,0,0,12,8,1,912,758,4
12042,SIMPLE HOME,2099,Kentro (Athens),Expert,Expert,80,80,759.0,no,Christos Koulikis,Thodoris Mistiloglou,3640,2514,agent,22,16,1,0,27,1,0,0,1326,753,12
12044,ΑΚΙΝΗΤΑ ΣΠΑΝΟΥΛΗΣ,3734,Larisa (Larissa Prefecture),Brand Quota,Brand,30,30,330.0,no,Maria Retsina,Vassia Roga,0,183,agent,30,8,0,0,0,1,1,0,506,330,0
12048,ESTATEMARKET,3489,Heraclion Cretes (Heraklion Prefecture),Brand Quota,Brand,30,30,280.56,no,Christos Koulikis,Filitsa Skoura,51,21,agent,8,2,0,0,0,1,0,0,94,94,1
12052,EXODOS IKE,2123,Cholargos (Athens - North),Developer Quota,Brand,2,0,220.0,no,Konstantinos Koutsoupas,Konstantinos Koutsoupas,253,27,developer,2,2,0,0,0,0,0,0,53,53,8
12054,ΛΙΒΕΡΑΚΟΣ ΚΥΡΙΑΚΟΣ,3699,Githeio (Lakonia),Brand Plus Quota,Brand Plus,30,30,440.0,no,Nikos Kapiniaris,Konstantinos Koutsoupas,264,27,agent,23,4,0,0,0,1,1,0,559,436,2
12088,ΠΑΠΑΣ  ΠΕΤΕΡ,451338,Bedfordshire (England),Brand Plus Quota,Brand Plus,80,80,725.0,no,Theodosis Tsiavos,Ioanna Sampani,304,86,agent,68,1,0,0,0,1,1,1,710,710,1
12110,Like Home,499115,Center of Thessaloniki (Thessaloniki - Municipality),Brand Quota,Brand,300,350,801.29,no,Maria Retsina,Giorgos Koutsobinas,535,715,agent,250,26,0,0,0,11,7,1,2008,799,2
12119,θΕΣ ΚΑΖΑ Thess-Casa,499115,Center of Thessaloniki (Thessaloniki - Municipality),Brand Quota,Brand,30,30,330.0,no,Alexandros Zanias,Vassia Roga,1099,687,agent,12,9,0,0,0,0,0,0,497,326,2
12142,CityValue Real Estate,6009,Kolonaki - Lykavittos (Athens - Center),Expert Quota,Expert,150,150,1412.9,no,Alexandros Zanias,Konstantinos Koutsoupas,1053,5223,agent,105,38,1,0,7,6,1,0,2580,1387,3
12152,Lysis Mesitiki,3521,Ioannina (Ioannina Prefecture),Brand Quota,Brand,30,30,330.0,no,Nikos Kapiniaris,Ioanna Sampani,0,93,agent,29,4,0,0,0,2,1,0,618,330,0
12156,ΑΚΙΝΗΤΑ ΧΑΝΙΩΝ ΕΕ,4050,Chania (Chania Prefecture),Expert Quota,Expert,30,50,759.0,no,Theodosis Tsiavos,Konstantinos Koutsoupas,156,195,agent,50,13,1,0,1,3,2,0,1950,759,2
12167,ΒΟΥΡΤΗΣ ΑΝΑΣ.ΒΑΣΙΛΕΙΟΣ,2906,Thermi (Thessaloniki - Suburbs),Brand Quota,Brand,30,30,297.0,no,Stathis Koutmeridis,Giorgos Koutsobinas,1516,537,agent,23,16,0,0,0,1,0,0,442,297,4
12188,O.R.E.P.,3654,Korinthos (Corinthia),Brand Plus,Brand Plus,40,40,0.0,yes,Seirina Gkikodima,Seirina Gkikodima,0,0,agent,1,1,0,0,0,0,0,0,155,0,1
12196,ΣΤΑΜΑΤΗΣ,4025,Sithonia (Chalkidiki),Brand Plus Quota,Brand Plus,80,80,725.0,no,Theodosis Tsiavos,Anastasia Kyprioti,53,232,agent,45,1,0,0,0,1,1,1,1144,721,1
12208,Ελενη Νικολαιδου κ σια ΕΕ,2407,Nea Makri (Athens - East),Developer Quota,Brand,1,0,50.0,no,Stathis Koutmeridis,Ioanna Katsou,0,31,developer,1,1,0,0,0,0,0,0,38,38,0
12210,MP Real Estate,3549,Kavala (Kavala Prefecture),Brand Quota,Brand,30,60,330.0,no,Marilena Gkikopoulou,Giorgos Koutsobinas,84,77,agent,31,5,0,0,0,1,1,0,323,323,1
12222,ΦΩΤΟΥ  ΣΟΦΙΑ,3301,Patra (Achaia),Brand Plus Quota,Brand Plus,40,40,610.0,no,Manos Daskalakis,Seirina Gkikodima,288,351,agent,38,4,0,0,0,1,1,1,495,380,1
12246,ΧΡΗΣΤΟΣ ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ,2203,Vari - Varkiza (Athens - South),Expert Quota,Expert,200,400,1547.3,no,Marilena Gkikopoulou,Giorgos Koutsobinas,2001,2148,agent,181,26,1,0,17,7,2,1,6736,1528,3
12259,Ακίνητα Λαζαρίδη,499121,Toumpa (Thessaloniki - Municipality),Expert Quota,Expert,100,150,1252.0,no,Vassiliki Stamouli,Filitsa Skoura,1740,2968,agent,117,17,1,0,6,6,2,2,2096,1229,3
12260,MIA PROPERTIES,2208,Glyfada (Athens - South),Developer Quota,Brand,14,0,2186.94,no,Alexandros Zanias,Stellina Sakkali,60,322,developer,7,4,0,0,0,0,0,0,2057,1847,1
12269,RE/MAX Best Μεσιτικό Γραφείο,2909,Neapoli (Thessaloniki - Suburbs),Brand Quota,Brand,150,150,613.71,no,Eirini Tsigonia,Seirina Gkikodima,1108,1023,agent,105,27,0,0,0,6,3,0,614,614,2
12272,REMAX Today,2907,Kalamaria (Thessaloniki - Suburbs),Expert Quota,Expert,340,340,1795.55,no,Nikos Michail,Konstantinos Koutsoupas,1380,3740,agent,293,32,1,0,17,15,11,3,2962,1570,2
12274,AKTIO REAL ESTATE,3879,Preveza (Preveza Prefecture),Brand Plus Quota,Brand Plus,180,300,928.22,no,Marilena Gkikopoulou,Ioanna Katsou,2598,229,agent,133,22,0,0,0,5,4,1,851,851,16
