"lvl4_id","lvl4_name","lvl2_id","lvl2_name","lvl1_id","lvl1_name"
3243,Nea Kios,151,Argolis,105050,Peloponnisos
3244,Nea Tirintha,151,Argolis,105050,Peloponnisos
3245,Apollonas,152,Arcadia,105050,Peloponnisos
3246,Valtetsi,152,Arcadia,105050,Peloponnisos
3247,North Kinouria,152,Arcadia,105050,Peloponnisos
3248,Vitina,152,Arcadia,105050,Peloponnisos
3249,Gortinia,152,Arcadia,105050,Peloponnisos
3250,Dimitsana,152,Arcadia,105050,Peloponnisos
3251,Iraia,152,Arcadia,105050,Peloponnisos
3252,Kleitoria,152,Arcadia,105050,Peloponnisos
3253,Kontovazaina,152,Arcadia,105050,Peloponnisos
3254,Korithio,152,Arcadia,105050,Peloponnisos
3255,Kosmas,152,Arcadia,105050,Peloponnisos
3256,Lagkadia,152,Arcadia,105050,Peloponnisos
3257,Levidi,152,Arcadia,105050,Peloponnisos
3258,Leonidio,152,Arcadia,105050,Peloponnisos
3259,Mantineia,152,Arcadia,105050,Peloponnisos
3260,Megalopoli,152,Arcadia,105050,Peloponnisos
3261,Skiritida,152,Arcadia,105050,Peloponnisos
3262,Tegea,152,Arcadia,105050,Peloponnisos
3263,Trikolonio,152,Arcadia,105050,Peloponnisos
3264,Tripoli,152,Arcadia,105050,Peloponnisos
3265,Tropaia,152,Arcadia,105050,Peloponnisos
3266,Falaisia,152,Arcadia,105050,Peloponnisos
3267,Falanthos,152,Arcadia,105050,Peloponnisos
3268,Agnanta,153,Arta Prefecture,105055,Ipiros
3269,Athamanio,153,Arta Prefecture,105055,Ipiros
3270,Amvrakia,153,Arta Prefecture,105055,Ipiros
3271,Arachthos,153,Arta Prefecture,105055,Ipiros
3272,Arta,153,Arta Prefecture,105055,Ipiros
3273,Vlacherna,153,Arta Prefecture,105055,Ipiros
3274,Georgios Karaiskakis,153,Arta Prefecture,105055,Ipiros
3275,Iraklias,153,Arta Prefecture,105055,Ipiros
3276,Theodoriana,153,Arta Prefecture,105055,Ipiros
3277,Kommeno,153,Arta Prefecture,105055,Ipiros
3278,Kompotio,153,Arta Prefecture,105055,Ipiros
3279,Melissourgoi,153,Arta Prefecture,105055,Ipiros
3280,Xirovouni,153,Arta Prefecture,105055,Ipiros
3281,Peta,153,Arta Prefecture,105055,Ipiros
3282,Tetrafilia,153,Arta Prefecture,105055,Ipiros
3283,Filothei,153,Arta Prefecture,105055,Ipiros
3284,Aigeira,154,Achaia,105050,Peloponnisos
3285,Aigio,154,Achaia,105050,Peloponnisos
3286,Akrata,154,Achaia,105050,Peloponnisos
3287,Aroania,154,Achaia,105050,Peloponnisos
3288,Vrachneika,154,Achaia,105050,Peloponnisos
3289,Diakopto,154,Achaia,105050,Peloponnisos
3290,Dytikis Achaias,154,Achaia,105050,Peloponnisos
3291,Erineo,154,Achaia,105050,Peloponnisos
3292,Kalavrita,154,Achaia,105050,Peloponnisos
3293,Kalentzi,154,Achaia,105050,Peloponnisos
3294,Larissos,154,Achaia,105050,Peloponnisos
3295,Leontio,154,Achaia,105050,Peloponnisos
3296,Lefkasio,154,Achaia,105050,Peloponnisos
3297,Messatida,154,Achaia,105050,Peloponnisos
3298,Movri,154,Achaia,105050,Peloponnisos
3299,Paos,154,Achaia,105050,Peloponnisos
3300,Paralia,154,Achaia,105050,Peloponnisos
3301,Patra,154,Achaia,105050,Peloponnisos
3302,Rio,154,Achaia,105050,Peloponnisos
3303,Egialia,154,Achaia,105050,Peloponnisos
