root_id,lvl1_id,lvl2_id,lvl4_id,lvl2_name,lvl4_name,properties,agents,agents_received_entrustment,agents_received_search,entrustments,search_requests,search_requests_norm,specialists_5,specialists_10,specialists_30,marketwatch_alerts
1,105054,150,3219,Aetolia & Acarnania,Neapoli,82,8,75,381,2,9,0,4,2,1,6
1,105054,150,3220,Aetolia & Acarnania,Oiniades,10,7,0,381,0,9,0,0,0,0,0
1,105054,150,3221,Aetolia & Acarnania,Panaitoliko,3,3,0,381,0,9,0,0,0,0,0
1,105054,150,3222,Aetolia & Acarnania,Paravola,32,9,78,381,2,9,0,2,0,0,4
1,105054,150,3223,Aetolia & Acarnania,Parakampilia,2,2,72,381,1,9,0,0,0,0,3
1,105054,150,3224,Aetolia & Acarnania,Platanos,5,5,51,428,1,11,1,0,0,0,0
1,105054,150,3225,Aetolia & Acarnania,Pillini,3,2,0,381,0,10,1,0,0,0,0
1,105054,150,3226,Aetolia & Acarnania,Stratos,14,5,77,381,2,9,0,1,0,0,1
1,105054,150,3227,Aetolia & Acarnania,Fiteies,8,7,84,459,3,10,0,0,0,0,1
1,105054,150,3228,Aetolia & Acarnania,Chalkeia,41,21,89,381,5,10,1,3,0,0,4
1,105050,151,3229,Argolis,Alea,4,3,0,1402,0,32,1,0,0,0,24
1,105050,151,3230,Argolis,Argos,957,42,148,1428,11,87,52,15,14,5,61
1,105050,151,3231,Argolis,Asini,918,65,149,1426,6,51,17,19,15,8,60
1,105050,151,3232,Argolis,Asklipieio,107,25,130,1402,2,37,5,9,2,0,56
1,105050,151,3233,Argolis,Achladokampos,7,6,0,1402,0,32,1,0,0,0,18
1,105050,151,3234,Argolis,Epidavros,344,58,142,1408,4,39,3,10,8,4,58
1,105050,151,3235,Argolis,Ermioni,392,113,171,1441,8,46,11,17,6,3,60
1,105050,151,3236,Argolis,Koutsopodi,94,18,0,1402,0,32,1,5,2,1,43
1,105050,151,3237,Argolis,Kranidi,1280,212,175,1476,43,70,33,44,26,9,89
1,105050,151,3238,Argolis,Lerna,178,27,140,1402,3,37,6,10,7,1,43
1,105050,151,3239,Argolis,Lirkeia,39,16,0,1402,0,32,1,3,1,0,39
1,105050,151,3240,Argolis,Midea,176,28,145,1402,6,32,1,11,7,0,53
1,105050,151,3241,Argolis,Mycenae,69,20,96,1402,1,33,2,4,2,0,49
1,105050,151,3242,Argolis,Nafplio,1348,69,166,1737,4,204,164,23,15,8,71
1,105050,151,3243,Argolis,Nea Kios,80,18,130,1402,1,35,4,5,2,0,44
1,105050,151,3244,Argolis,Nea Tirintha,320,36,134,1402,2,32,1,10,7,4,46
1,105050,152,3245,Arcadia,Apollonas,71,17,101,1070,2,17,0,2,1,1,7
1,105050,152,3246,Arcadia,Valtetsi,13,6,0,1070,0,19,1,1,0,0,0
1,105050,152,3247,Arcadia,North Kinouria,585,82,120,1095,19,34,16,17,12,5,19
1,105050,152,3248,Arcadia,Vitina,73,22,0,1180,0,20,2,3,2,0,5
1,105050,152,3249,Arcadia,Gortinia,15,7,116,1070,7,18,1,1,0,0,0
1,105050,152,3250,Arcadia,Dimitsana,21,16,103,1070,3,19,1,0,0,0,0
1,105050,152,3251,Arcadia,Iraia,4,3,106,1070,2,17,0,0,0,0,0
1,105050,152,3252,Arcadia,Kleitoria,9,4,70,1070,1,17,0,0,0,0,0
1,105050,152,3253,Arcadia,Kontovazaina,5,5,58,1070,1,17,0,0,0,0,1
1,105050,152,3254,Arcadia,Korithio,23,8,0,1070,0,17,0,2,1,0,2
1,105050,152,3255,Arcadia,Kosmas,6,6,74,1070,1,17,0,0,0,0,1
1,105050,152,3256,Arcadia,Lagkadia,9,8,69,1070,1,19,1,0,0,0,0
1,105050,152,3257,Arcadia,Levidi,48,13,97,1072,2,18,1,2,1,0,2
1,105050,152,3258,Arcadia,Leonidio,71,19,108,1072,5,22,5,4,1,1,9
1,105050,152,3259,Arcadia,Mantineia,31,7,95,1070,1,17,0,2,2,0,4
1,105050,152,3260,Arcadia,Megalopoli,36,22,114,1070,9,20,3,1,0,0,0
1,105050,152,3261,Arcadia,Skiritida,18,6,71,1070,1,17,0,1,1,0,0
1,105050,152,3262,Arcadia,Tegea,58,13,98,1119,2,19,1,3,2,0,6
1,105050,152,3263,Arcadia,Trikolonio,14,7,113,1070,4,17,0,1,0,0,0
1,105050,152,3264,Arcadia,Tripoli,710,53,123,1071,19,63,46,6,5,4,5
1,105050,152,3265,Arcadia,Tropaia,5,5,111,1070,2,17,0,0,0,0,0
1,105050,152,3266,Arcadia,Falaisia,7,6,103,1070,2,17,0,0,0,0,3
1,105050,152,3267,Arcadia,Falanthos,14,7,100,1070,2,17,0,1,0,0,0
1,105055,153,3268,Arta Prefecture,Agnanta,3,3,0,149,0,78,6,0,0,0,0
1,105055,153,3269,Arta Prefecture,Athamanio,16,10,68,149,3,77,5,1,0,0,0
1,105055,153,3270,Arta Prefecture,Amvrakia,14,6,0,149,0,81,9,1,0,0,13
1,105055,153,3271,Arta Prefecture,Arachthos,11,4,0,149,0,77,5,0,0,0,7
1,105055,153,3272,Arta Prefecture,Arta,168,27,69,240,11,117,41,5,5,2,30
1,105055,153,3273,Arta Prefecture,Vlacherna,15,9,57,149,1,79,6,0,0,0,11
1,105055,153,3274,Arta Prefecture,Georgios Karaiskakis,5,4,60,149,2,78,5,0,0,0,0
1,105055,153,3275,Arta Prefecture,Iraklias,2,2,0,149,0,78,5,0,0,0,0
1,105055,153,3276,Arta Prefecture,Theodoriana,1,1,0,149,0,77,5,0,0,0,2
1,105055,153,3277,Arta Prefecture,Kommeno,2,2,0,149,0,77,5,0,0,0,0
1,105055,153,3278,Arta Prefecture,Kompotio,9,6,58,149,1,78,6,0,0,0,20
1,105055,153,3279,Arta Prefecture,Melissourgoi,2,1,0,149,0,77,5,0,0,0,0
1,105055,153,3280,Arta Prefecture,Xirovouni,6,6,0,149,0,77,5,0,0,0,0
1,105055,153,3281,Arta Prefecture,Peta,19,9,67,149,8,78,5,1,0,0,23
1,105055,153,3282,Arta Prefecture,Tetrafilia,1,1,0,149,0,78,5,0,0,0,0
1,105055,153,3283,Arta Prefecture,Filothei,30,11,0,149,0,80,7,3,0,0,9
1,105050,154,3284,Achaia,Aigeira,78,27,176,1474,7,43,3,5,1,0,11
1,105050,154,3285,Achaia,Aigio,1436,124,191,1509,24,72,30,21,11,5,54
1,105050,154,3286,Achaia,Akrata,469,95,185,1474,21,50,10,12,8,2,50
1,105050,154,3287,Achaia,Aroania,4,3,0,1474,0,41,1,0,0,0,0
1,105050,154,3288,Achaia,Vrachneika,323,63,173,1485,6,61,16,20,8,1,77
1,105050,154,3289,Achaia,Diakopto,747,107,189,1491,16,51,10,12,7,4,56
1,105050,154,3290,Achaia,Dytikis Achaias,390,89,178,1477,19,60,17,24,12,0,64
1,105050,154,3291,Achaia,Erineo,326,52,160,1474,6,42,2,10,6,2,46
1,105050,154,3292,Achaia,Kalavrita,175,71,187,1474,20,54,14,8,4,0,47
1,105050,154,3293,Achaia,Kalentzi,6,5,0,1474,0,41,1,0,0,0,2
1,105050,154,3294,Achaia,Larissos,170,58,159,1474,4,46,5,11,2,0,45
1,105050,154,3295,Achaia,Leontio,14,9,156,1474,1,41,1,1,0,0,19
1,105050,154,3296,Achaia,Lefkasio,20,15,163,1474,3,42,2,0,0,0,2
1,105050,154,3297,Achaia,Messatida,640,79,161,1514,5,71,22,34,21,2,94
1,105050,154,3298,Achaia,Movri,131,41,110,1474,1,43,2,9,3,0,41
1,105050,154,3299,Achaia,Paos,3,3,169,1474,5,41,1,0,0,0,0
1,105050,154,3300,Achaia,Paralia,427,67,176,1476,8,56,12,27,14,2,74
1,105050,154,3301,Achaia,Patra,10911,181,226,2241,152,914,841,87,78,51,160
1,105050,154,3302,Achaia,Rio,1462,100,193,1478,27,87,35,48,35,18,113
1,105050,154,3303,Achaia,Egialia,687,69,174,1475,16,49,9,15,11,4,63
